#f	A	f	B	f	C	f	D	f	E
2 981.373	33	196.2746	27	981.373	17	196.2746	57	490.6865	31      
2 1177.6476	39	490.6865	66	1177.6476	21	490.6865	144	981.373	64
2 1472.0595	49	981.373	135	1472.0595	29	981.373	287	1177.6476	77
2 2453.4325	81	1177.6476	161	2453.4325	61	1177.6476	344	1472.0595	98
2 3631.0801	121	1472.0595	201	4906.865	146	1472.0595	429	2453.4325	162
2 4906.865	163	1962.746	267						

