#k	100	120	150	250
5.5061388811	17.090	15.71	14.12	11.01
2.6727575929	8.477	7.75	6.96	
5.427378338	18.98	16.60	14.57	10.54
1.8172587771	5.80	5.31	4.77	
3.8762654129	12.22	11.18	9.99	7.80




#k	100	120	150	250 fit bez C
5.5061388811	17.090	15.71	14.12	11.01
2.6727575929	8.477	7.75	6.96	
1.8172587771	5.80	5.31	4.77	
3.8762654129	12.22	11.18	9.99	7.80
